year/month	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	Mean		year	AnnualMean
1996- 4	0	24	11.1	27.5	0.6	2.9	0	80.7	5.1	0	6.6	0	6	21.2	74.2	15.8	0	38.6	0	0	2.4	21	0.7	0	0	0	2.8	0	0	0	0	11.00645161			
1996- 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	11.5	1.048387097			
1996- 6	5.4	0	0	0	0	0	0	0	0	0	6.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.383870968			
1996- 7	0	0	0	0	0	4.2	0	0	0	12	0.4	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.551612903			
1996- 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	22.2	15.9	0	3.6	0.6	0	1.7	3.3	0	0	0	0	0	0	2.5	0.4	1.683870968			
1996- 9	0	0	22.3	3.8	0	0	0	6	31	0	0	0	0.4	0	0	0	5.2	0	0	0	8.4	26.1	0	0	11.4	0	0	0	1.7	0	0	3.751612903			
1996-10	0	0	0	0	1.5	49.5	17.9	0	29.6	0	8.5	54.9	14.5	37.5	20.9	0	0	0	0	0	0	0	0	31.3	0	0	0	0	0	0	0	8.583870968			
1996-11	0	0	3.3	0	0	0	0	0	0	11	27.7	11	52.3	0	0	0	23.8	17.2	0.5	4.9	10	0	3.8	5	70.5	136.5	0	77.1	0	0	0	14.66451613			
1996-12	0	0	2.7	0	0	7	66.8	0	3.1	44.5	17.3	10	20	47.3	7.6	0	0	0	0	0	0	0	0	0	0	66.8	0	0	0	0	0	9.45483871			
1997- 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	16.5	0	0	0.790322581			
1997- 2	7.6	10	5.6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.135483871			
1997- 3	0	2.8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.509677419			
1997- 4	0	14.8	53.4	30.2	4	29.1	56.1	1.4	0	3.6	11.9	0	0	0	0	0	0	12.3	8.2	10.1	13	27	1	0	18	20	0	0	0.3	12	0	10.52903226			
