year/month	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	Mean		year	AnnualMean
2013-3	0	0	3.799999952	3.799999952	7.5	6.300000191	0	10.19999981	0	0	1.200000048	0	53	6.699999809	2.099999905	0	0	0	0	0	0	0	77.19999695	1.700000048	3	0	0.300000012	6.300000191	4.800000191	17.29999924	0	6.619354719			
2013-4	0	0	0	9	1.200000048	0	0	0	2.799999952	2.200000048	10.5	81.30000305	21.20000076	11	3.5	0	0	0	0	0	0	0	1.600000024	38.79999924	42	60	84.5	5.699999809	29.39999962	18.70000076	0	13.65806462			
2013-5	15	1.700000048	0	0	1.200000048	75.5	2.299999952	15	0	0	0	0	16.29999924	0	0	0	0	0	1.5	25.79999924	0	0	0	0	0	0	0	0	0	0.100000001	5	5.141935436			
2013-6	0	0	0	0	0	0	0	0	0	0	1.799999952	0.200000003	0.200000003	0	0	0	0.200000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077419354			
2013-7	0	0	0	0	2	16	1	0	0	0.200000003	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.635483871			
2013-8	0	0	5.300000191	3.299999952	0.300000012	0	0	0	0	0	0	7.300000191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	30.70000076	6.099999905	0	1.967741968			
2013-9	41.09999847	0	0	0	0	15.5	8.5	0.300000012	0	0	2.200000048	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29354834			
2013-10	0.400000006	0	0	0	6.5	0	0	0	0	0	0	0	0	0	0	4.800000191	0	38.20000076	5.199999809	0.5	0	0	0	0	4.099999905	0	9.899999619	0.100000001	9.899999619	75.5	18.70000076	5.606451635			
2013-11	8.100000381	6.099999905	14.69999981	16	0	0	0	0	0	35.09999847	2.299999952	0.100000001	0	0	5.300000191	35.70000076	0	3.900000095	106.4000015	5.900000095	0	6.800000191	23.20000076	36.29999924	10.39999962	0	0	0	4.5	3	0	10.44516132			
2013-12	2.400000095	1.600000024	12	2.099999905	16.89999962	0	0.200000003	0	60.79999924	17.39999962	9.300000191	0	0	2.599999905	34.90000153	0.200000003	0	0	0	0	0	0	0	3.099999905	2	0	0	0	0	0	0	5.338709678			
2014-1	0	0	0	4.800000191	37.70000076	3.299999952	5.900000095	6.800000191	0	0	0	3.700000048	0	5.199999809	41.79999924	1.700000048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.577419366			
2014-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.29999924	0	0	6.300000191	0	0	0	2	0	0	0	0	0	0	0	0	1.470967723			
2014-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.90000153	7.5	0	0	0	0	0	0	0	0.300000012	0	0	0	0	1.732258114			
2014-4	0	6.800000191	0.200000003	0	0	0	6.099999905	0	10.60000038	0	0	0	0	88	30	0.200000003	16.89999962	2.700000048	0	0	0	0	0	2.5	0	0	1.600000024	28.39999962	55.40000153	24.60000038	0	8.838709732			
2014-5	10.60000038	5	15.10000038	10.10000038	15	5.800000191	1	0	0	0	0	5.699999809	0	0	0	2	0	0	0	19.20000076	5.199999809	0	0	0	0	0	1.5	0	0	0	0	3.103225862			
2014-6	0	0	0	0.300000012	0	0	0	0	0	0	0	0.200000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016129033			
2014-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
2014-8	0	0	0	0	0	0	3.299999952	0	0	0	0	0	0	0	0	0	2.900000095	2.299999952	0	1.600000024	0	0	0	0	0	0	0	0	0	0	0	0.325806452			
2014-9	0	1.600000024	0	0	0	0	4.099999905	0	0	8.100000381	1.899999976	0	0.699999988	0	0	0	0	0	0	0	0	0	0.300000012	0.800000012	40.79999924	77.40000153	63.5	4.199999809	0	0.400000006	0	6.574193577			
2014-10	31.60000038	4.400000095	4	16.89999962	0	14.39999962	3.299999952	0.699999988	0.400000006	0.300000012	0	0	0	54	24.60000038	0.699999988	4.599999905	3.799999952	4.099999905	68	42.29999924	72	8.100000381	3.299999952	5.300000191	71.5	35.79999924	46.20000076	35.20000076	73.80000305	26.70000076	21.16129046			
2014-11	1.600000024	26	2.599999905	22.10000038	11.60000038	0	0	62.40000153	2.900000095	7.300000191	13.30000019	41.40000153	8.800000191	5.900000095	0	3	0	2.400000095	5.400000095	32.79999924	8.5	9.699999809	11.30000019	8.100000381	8.100000381	28.29999924	11.19999981	0.800000012	21.10000038	82.19999695	0	14.15483874			
2014-12	1	53.59999847	14.19999981	0	0	22.39999962	0.200000003	0	0	16.5	0	0	0	0	6.5	0.200000003	10.19999981	32.29999924	36.09999847	14.5	17.20000076	10.39999962	15.30000019	59.29999924	92.30000305	0	14	0.200000003	4.900000095	0	108.5999985	17.09354829			
2015-1	0	0.200000003	0	0	0	0.200000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.099999905	0	0	0.080645158			
2015-2	3.099999905	0	8.100000381	0	12.5	0	0	0	0.200000003	0	6.699999809	18.70000076	8.800000191	0	0	0	0	0	0	0	0	3.200000048	0.5	0	20.70000076	2.5	37.20000076	60.5	0	0	0	5.893548472			
2015-3	2.700000048	0	11.69999981	0	0	0	0	0	0	0	0	1	22.70000076	19	0	0	0	0	0	0	0	0	0	0	0	0	0	3.799999952	0	0	10.30000019	2.296774218			
2015-4	3.299999952	0	0	4.900000095	10	1	4	1.899999976	40.29999924	73.5	43.59999847	3.299999952	32.5	26	85.5	1.600000024	24.79999924	20.10000038	12.5	28.10000038	1	0	73.09999847	6.599999905	1	0	44.70000076	0.800000012	0.300000012	35.90000153	0	18.71935479			
2015-5	48.90000153	2.299999952	0	0	35	12.60000038	0	15	0	27.29999924	0.699999988	3.599999905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.699999809	19.79999924	5.480645162			
2015-6	0	0	0	0	19.5	3.700000048	3	0	0	0	0	0	0	0	0.699999988	2	0.899999976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.961290323			
2015-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.900000095	0	4	0.287096777			
2015-8	0	0	0	0.699999988	0	0	0	0	0	0	0	0	0	6.599999905	9.199999809	19.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.39999962	2.012903204			
2015-9	0.5	0	54.90000153	20.5	2.599999905	2.299999952	0	0	0	0	0	0	0	0	0	0	0	0	0	10.39999962	7.800000191	1.5	27	43.5	0.5	11.19999981	2.900000095	4.199999809	0.699999988	1.600000024	0	6.196774223			
2015-10	0	30.29999924	4.699999809	0	0	0	2.900000095	1.100000024	0	5.5	3.5	19.79999924	4.599999905	66.90000153	0.200000003	69.19999695	44.79999924	29.39999962	26.29999924	5.699999809	1.399999976	1	53.5	34.59999847	6.300000191	0	0	0	1	5.099999905	8.600000381	13.7548385			
2015-11	2.099999905	63.40000153	0	0.699999988	18.5	1.299999952	20.10000038	23.79999924	0	0	17.89999962	18.5	22.89999962	22.89999962	11	0	1.299999952	17	37.40000153	1.700000048	5	0.100000001	8.899999619	0	0	3.900000095	0	0	36.29999924	70.80000305	0	13.08064527			
2015-12	19.10000038	78.69999695	2.700000048	11.30000019	3.400000095	0.800000012	2.400000095	57.79999924	0.600000024	24.10000038	0.200000003	0	0	55	0.5	0.100000001	4	0	13	0.200000003	0	0	0	0	0	0	50.40000153	2	37	0	9	12.00967739			
2016-1	0	0	0	0	0	2.2	0	0	0	14	23.8	0.8	0	5.5	7.6	3.8	5.1	17.2	0	0.5	0	0.4	0	2.8	5.6	0.5	13.6	0	0.3	2.6	0.2	3.435483871			
2016-2	0	0	17.8	8.8	12.2	10.6	9.9	5.5	2.9	9.3	42.8	26.4	23.2	8.1	68.6	22.8	58.3	1.7	28.2	2.5	0.4	0.6	0	0	0	3.3	0.4	3	0.2	0	0	11.85483871			
2016-3	12.8	6.2	6.1	13.5	3.3	40.6	0	0	48.7	0	0	0	0	0	0	0	0	0.7	45.8	0	0	0	0	0	0	2.2	0	2.3	31.2	1.7	0	6.938709677			
2016-4	0	21.4	0.2	0.6	0	2.1	0	0	10.1	0.2	0.5	0	0	0	12	8.6	13.7	0.2	46.4	0	0	0	8.9	4.7	0	0	0	0	0	0	0	4.180645161			
2016-5	2.1	0	0	10.7	0	17.4	0	0	15	43.4	0	0	1.4	0	0	31.8	13.8	9.2	0	0	0	0	0	0	0	0	0	0	0	0	0.9	4.7			
2016-6	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05483871			
2016-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
2016-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	0	0	0	0	0	9.7	0	0	0	0	0	0	0.493548387			
2016-9	0	0	0	0	0	8.9	0	0	0	0	0	0	0	0	0	22.4	0	0	0	23.1	2.3	9.9	7.9	20.6	0	0	0	0	1.5	0	0	3.116129032			
2016-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.1	69.9	0	0	0	17.5	27.2	13.2	13	33.5	2	9.7	8.9	6.903225806			
2016-11	13.2	0.5	0	13.2	13.5	2	0	0	64	38.9	1	64.5	13.5	102.4	0	0.5	0.8	1.5	0.5	0	0	13.7	0	0	0	0	0.8	0.5	0	0	0	11.12903226			
2016-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.1	0	0	0	14	0	38.9	39.6	12.7	4.65483871			
2017-1	0	1.2	7.4	1.3	0	0	0	0	0	0	0	0	0	0	9.1	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.735483871			
2017-2	0	0	0	0	0	0	46.5	0	0	0	26.9	0	0	0	0	2.8	41.2	0	8.9	0	0	0	0	0	1	6.6	9.9	0	0	0	0	4.638709677			
2017-3	0	0	0	0	0	0	6.4	0	0	16.3	25.2	12.2	7.1	0	0	0	9.7	0	8.9	35.1	17.8	0	36.8	9.7	26.4	0	0	0	0	0	0	6.825806452			
2017-4	0	0	0	0	0	34.5	0	37.1	17.2	15	0	0	0.8	0	15.8	0	0	0	0	22.4	0	0	0	0	0	0	0	0	0	0	0	4.606451613			
2017-5	0	0	0	0	6.4	18.8	0	0	5.1	0	22.1	38.6	0	0	0	35.3	0	0	22.9	6.4	0	0	5.3	0	0	0	0	0	0	0	0	5.190322581			
2017-6	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074193548			
2017-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0.048387097			
2017-8	0	0	19.6	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4	0	0	13.5	0	0	0	2	0	0	0	0	0	0	0	1.403225806			
2017-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.6	0	12.7	0	57.2	10.7	0	0	0	14.2	5.3	0	0	4.377419355			
2017-10	0	0	5.1	1.3	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	9.4	31.2	9.9	9.7	4.3	0	0	68.6	13.5	8.4	75.4	14.5	0	8.180645161			
2017-11	31	17.5	10.7	0	0.5	19.1	71.1	12.7	1.8	13.2	5.8	5.3	7.4	0	0	0	0	0	0	54.6	58.4	13.2	0	0	0	23.6	0	0	0	0	0	11.15806452			
2017-12	55.9	0	50.8	6.4	31.8	1.3	2.3	2.5	0	0	0	3.8	11.4	62.7	38.6	10.7	0	0	0	0	12.7	4.3	0	0	0	20.3	0	0	0	0	0	10.17741935			
2018-1	0	0	0	0	0	58.4	38.6	27.4	18.5	49.5	1	0.8	4.1	0.8	3.8	0	21.8	85.6	1.3	0	0	0	0.3	0	0	0	0	0	0	0	0	10.06129032			
2018-2	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9	0	74.4	0	19.1	47	0	0	0	0	0	0	2.3	0	0	0	0	0	4.861290323			
2018-3	0	0	1.5	0.5	0.3	0	0	0.3	21.1	41.2	1	6.1	2.5	0	0	0	0	5.6	0	0	21.8	17.3	4.6	14.5	0	0	5.6	0	0	0	32.3	5.683870968			
2018-4	0	0	1.3	57.2	56.1	0	0	0	13	0.5	0	19.3	0	0	0	16.5	0	18	2.5	7.6	3.3	1	0	0	11.7	5.8	0	0	0	34.5	0	8.009677419			
2018-5	3.8	6.4	12.7	1.8	5.6	5.1	12.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1.6			
2018-6	19.6	0	6.4	0	0	0	0	0	0	0	0	17.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.412903226			
2018-7	0	0	0	0	0	0	0	0	0	10.4	20.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	0	1.161290323			
2018-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
2018-9	0	0	0	2.5	0	0	0	0	0	0	0	0	4.6	1.3	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9	0	0.680645161			
2018-10	0.8	0	0	0	0	0	0	0	0	0	0	0	0	16.8	7.9	39.4	14.2	27.8	26.4	6.4	0	2.8	0	0	0	0	0	0	0	0.8	11.2	4.983870968			
2018-11	44.5	1.5	11.4	0	0	0	0	0	0	0	0	1.3	39.4	0	0	0	10.7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3.541935484			
2018-12	14.5	45.7	0	0	0	1	0	0	0	11.7	0	0	0	0	0.8	0.5	0	0	0	0	0	18	0.8	0	0	0	0	0	0	0	0	3			
2019-1	0	0	0	0	0	0	0	0	0	1.3	21.8	0	0	0	2.8	0	0	0	0	0	0	0	0	0	0	9.9	8.6	0	0	0	0	1.432258065			
2019-2	0	40.6	14.2	0	0	0	0	0	0	5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.932258065			
2019-3	0	0	0	0	9.1	0	0	0	0	32	0	11.4	11.4	21.6	0	0	0	0	30.7	0	0	34.8	0	0	0	0	0	32.5	7.4	0	0	6.158064516			
2019-4	0	0	0	2.5	0	11.9	5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	12.5	0	0	0	16.5	25.4	24.6	0	3.203225806			
2019-5	11.7	0	0	9.9	0	0	0	0	2.5	0	0	0	0	25.9	0	0	2.8	5.1	1.3	0	0	0.8	1	0	0	4.1	15	9.4	3.1	14.7	0	3.461290323			
2019-6	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164516129			
2019-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0.058064516			
2019-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0.080645161			
2019-9	0	0	0	0	0	0	0	0	0	0	0	0	2.7	10.1	10.1	0	0	12.7	2.2	0	0	0	0	0	21	7.6	5	6.8	0	15.2	0	3.012903226			
2019-10	4.8	19	2.5	0	58.4	0	0	34	9.9	0	4.3	24.8	8.6	23.6	34.7	2.7	62.7	0	17	36.3	1.5	9.6	0.5	0	0	80	43.1	5.8	11.1	3.5	4.5	16.22258065			
2019-11	13.5	12.7	2.5	8.4	18.3	0	0	0.8	13.7	0	0	0	0	7.9	0	0	0	25.7	3.3	13	0	3.6	6.4	6.9	0	26.7	26.2	0	0	0	0	6.116129032			
2019-12	0	0	0	0	45.7	1	0	43.4	22.6	0	12.7	1	2.5	0	24.1	0	0	0	0	4.3	0	0	19.8	5.1	3.6	0	0	0	0	0	0	5.993548387			
2020-1	0	0	0	0	0	0	0	0	0	0	0	12.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.409677419			
2020-2	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	4.8	3.1	24.1	0	0	0	0	0	0	0	12.7	0	0	0	24.4	0	0	2.277419355			
2020-3	0	0	0	0	0	0	0	0	0	30.5	0	0	0	0	0	64.5	7.6	0	0	0	27.9	17.8	2.5	0	0	11.4	3.8	0	0	0	0	5.35483871			
2020-4	0	0	0	0	23.9	0	0	0	23.9	35.3	56.6	4.6	10.2	0	24.1	38.1	19.8	0	122.5	10.2	5.1	35.6	0	0	31.8	1.8	3.6	0	28.7	0	0	15.3483871			
2020-5	15.5	0	0	0	0	0	0	16.5	5.3	0	0	0	0	0	0	2.5	8.9	0	0	0	0	0	22.9	0	0	5.1	0	6.4	0	0	0	2.680645161			
2020-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0	0	0	0	0	0	3.8	0	0.329032258			
2020-7	0	0	0	0	0	9.9	0	0	0	0	0	0	2.3	0	0	0	0	0	0	12.7	0	0.5	0	0	0	0	0	0	0	0	0	0.819354839			
2020-8	0	0	0	0	0	0	35.1	0	0	0	35.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	2.306451613			
2020-9	0	0	0	0	0	0	3.3	0	0	2.5	0	0	91.4	0	0	0	0	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	3.258064516			
2020-10	0	0	0	7.6	0	0	0	0	0	0	0	16.8	5.3	74.4	0	0	0	0	0	8.1	12.7	0	0	12.7	12.7	12.5	74.2	45.7	0	0	6.9	9.341935484			
2020-11	9.9	61.5	8.1	6.6	3.6	42.9	15	3.3	5.1	11.4	46.7	2.5	25.4	2.5	0	0	25.4	35.1	61	2.3	1.5	0	0	36.1	0	0	0	0	0	0	0	13.09354839			
2020-12	0	0	0	0	0	0	20.3	47.5	8.9	0	0	7.6	0	0	0	0	0	0	0	0	20.3	3.8	0	0	6.4	0	0	0	16.5	0	0	4.235483871			
